time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-03-19T01:57:57.400Z,35.285,-83.326,2.5,1.6,md,,150,0.28778,0.1,se,se60263,2022-06-28T13:53:43.758Z,"11 km SW of Dillsboro, North Carolina",earthquake,,1.1,,,reviewed,nm,nm
1983-03-30T11:52:14.000Z,35.41,-84.504,10.4,1.3,md,,145,0.08993,0.1,se,se60266,2022-06-28T13:53:47.323Z,"2 km SW of Englewood, Tennessee",earthquake,,0.8,,,reviewed,nm,nm
1983-04-05T03:17:59.300Z,35.542,-84.166,12.9,2.1,md,,86,0.12591,0.1,se,se60268,2022-06-28T13:53:54.057Z,"8 km SE of Vonore, Tennessee",earthquake,,0.5,,,reviewed,nm,nm
1983-04-16T07:26:43.600Z,35.42,-84.188,10.6,1.5,md,,96,0.22483,0.1,se,se60269,2022-06-28T13:53:56.044Z,"11 km ENE of Tellico Plains, Tennessee",earthquake,,1.5,,,reviewed,nm,nm
1983-05-16T06:50:23.500Z,35.549,-84.064,16.4,1.9,md,,114,0.2608,0.1,se,se60273,2022-06-28T13:54:00.848Z,"15 km SE of Greenback, Tennessee",earthquake,,1.4,,,reviewed,nm,nm
1983-05-25T10:46:05.900Z,35.741,-84.441,17.8,1.6,md,,109,0.19785,0.1,se,se60275,2022-06-28T13:54:03.244Z,"7 km NNW of Philadelphia, Tennessee",earthquake,,1.5,,,reviewed,nm,nm
1983-05-26T12:30:02.200Z,35.666,-84.264,3.3,2.5,md,,64,0.24282,0.1,se,se60277,2022-06-28T13:54:05.653Z,"2 km SSW of Tellico Village, Tennessee",earthquake,,0.5,,,reviewed,nm,nm
1983-06-22T05:53:24.300Z,35.596,-84.865,19.8,0.9,md,,107,0.2608,0.1,se,se60281,2022-06-28T13:54:10.924Z,"10 km S of Spring City, Tennessee",earthquake,,1.3,,,reviewed,nm,nm
1983-06-26T17:34:02.200Z,35.288,-84.251,13.9,0.5,md,,164,0.02698,0.1,se,se60283,2022-06-28T13:54:12.155Z,"9 km SSE of Tellico Plains, Tennessee",earthquake,,0.5,,,reviewed,nm,nm
1983-07-02T06:46:28.100Z,35.696,-84.196,13.1,1.8,md,,181,0.03597,0.1,se,se60284,2022-06-28T13:54:13.294Z,"4 km NNW of Greenback, Tennessee",earthquake,,0.4,,,reviewed,nm,nm
1983-07-08T19:29:05.900Z,35.548,-84.153,9.7,3.2,mb_lg,,87,0.12591,0.1,se,se60286,2022-06-28T13:54:15.674Z,"9 km ESE of Vonore, Tennessee",earthquake,,0.5,,,reviewed,nm,us
